27729,KEN3603,9.0,14/06/11
27729,KEN3604,8.0,14/06/11
27729,KEN3600,9.0,14/06/11
27729,KEN3601,9.0,14/06/11
59626,KEN3410,6.0,21/04/11
59626,KEN3420,7.0,19/04/11
59626,KEN3430,9.0,03/05/11
59626,KEN3600,8.0,11/07/11
59626,KEN3601,8.0,11/07/11
59626,KEN3602,10.0,11/07/11
32399,KEN2130,2.0,18/11/10
52959,KEN3130,6.0,31/01/11
52959,KEN3233,6.0,18/11/10
52959,KEN2230,2.0,27/01/11
52959,KEN2420,4.0,26/04/11
52959,KEN3410,1.0,21/04/11
52959,KEN2530,4.0,09/06/11
52959,KEN1430,6.0,27/10/10
52959,KEN2220,5.0,08/02/11
20642,KEN2110,6.0,24/02/11
20642,KEN2420,6.0,18/07/11
20642,KEN2430,6.0,07/04/11
20642,KEN2530,3.0,18/07/11
20642,KEN3120,5.0,22/02/11
20642,KEN3130,6.0,16/11/10
20642,KEN3234,7.0,02/12/10
20642,KEN3231,6.0,21/12/10
20642,KEN3232,6.0,23/12/10
20642,KEN3236,9.0,13/01/11
20642,KEN3300,8.0,08/02/11
20642,KEN3410,4.0,08/07/11
20642,KEN3420,4.0,18/07/11
20642,KEN3430,7.0,03/05/11
20642,KEN2520,7.0,18/07/11
47484,KEN1410,7.0,14/04/11
47484,KEN1420,6.0,11/04/11
47484,KEN2420,6.0,26/04/11
47484,KEN1510,8.0,22/06/11
47484,KEN2120,6.0,22/02/11
47484,KEN2230,4.0,27/02/12
47484,KEN2520,5.0,18/07/11
47484,KEN3130,7.0,16/11/10
47484,KEN3234,2.0,02/12/10
47484,KEN3236,7.0,13/01/11
47484,KEN2530,5.0,18/07/11
64920,KEN1210,5.0,21/02/11
64920,KEN2210,7.0,15/02/11
64920,KEN2130,0.0,18/11/10
9635,KEN2120,4.0,29/11/10
9635,KEN2210,7.0,16/02/12
9635,KEN2300,7.0,03/02/11
22844,KEN2130,6.0,18/11/10
22844,KEN3120,7.0,04/11/10
22844,KEN3233,7.0,18/11/10
22844,KEN1220,7.0,06/01/11
22844,KEN3231,6.0,01/02/11
22844,KEN3232,7.0,23/12/10
22844,KEN3300,8.0,08/02/11
22844,KEN3236,10.0,13/01/11
22844,KEN1420,6.0,14/04/11
22844,KEN3430,8.0,03/05/11
22844,KEN3420,8.0,19/04/11
22844,KEN1510,8.0,22/06/11
22844,KEN2520,7.0,17/06/11
22844,KEN2530,7.0,09/06/11
22844,KEN2130,6.0,18/11/10
22844,KEN3120,7.0,04/11/10
22844,KEN3233,7.0,18/11/10
22844,KEN1220,7.0,06/01/11
22844,KEN3231,6.0,01/02/11
22844,KEN3232,7.0,23/12/10
22844,KEN3300,8.0,08/02/11
22844,KEN3236,10.0,13/01/11
22844,KEN1420,6.0,14/04/11
22844,KEN3430,8.0,03/05/11
22844,KEN3420,8.0,19/04/11
22844,KEN1510,8.0,22/06/11
22844,KEN2520,7.0,17/06/11
22844,KEN2530,7.0,09/06/11
14336,KEN3120,6.0,22/02/11
14336,KEN3130,7.0,16/11/10
14336,KEN2230,6.0,27/01/11
14336,KEN3231,4.0,01/02/11
14336,KEN3235,9.0,13/01/11
14336,KEN3236,9.0,13/01/11
14336,KEN2130,1.0,08/02/11
14336,KEN2420,7.0,26/04/11
14336,KEN2520,6.0,18/07/11
14336,KEN3234,9.0,02/12/10
14336,KEN3300,8.0,08/02/11
14336,KEN3410,4.0,08/07/11
14336,KEN3420,6.0,19/04/11
14336,KEN3430,8.0,29/06/11
76013,KEN3120,6.0,04/11/10
76013,KEN3500,6.5,02/05/11
63045,KEN3500,7.0,16/08/11
39141,KEN2420,6.0,18/07/11
39141,KEN2430,4.0,18/07/11
39141,KEN2520,7.0,17/06/11
39141,KEN2530,6.0,09/06/11
39141,KEN3234,6.0,08/02/11
39141,KEN3232,6.0,07/02/11
39141,KEN3235,10.0,13/01/11
39141,KEN3236,10.0,13/01/11
39141,KEN3120,5.0,22/02/11
39141,KEN3130,6.0,16/11/10
39141,KEN3300,8.0,08/02/11
84509,KEN3120,7.0,04/11/10
84509,KEN2420,8.0,18/07/11
84509,KEN2430,7.0,07/04/11
84509,KEN3601,6.2,13/08/12
84509,KEN3600,6.9,13/08/12
84509,KEN3603,7.8,14/08/12
84509,KEN3604,8.0,14/08/12
69268,KEN2220,6.0,03/01/11
69268,KEN3300,9.0,18/01/11
16407,KEN2230,6.0,31/01/11
16407,KEN3130,9.0,16/11/10
16407,KEN3231,8.0,21/12/10
16407,KEN3300,8.0,08/02/11
16407,KEN3234,10.0,02/12/10
16407,KEN3236,10.0,13/01/11
16407,KEN2230,6.0,31/01/11
16407,KEN3130,9.0,16/11/10
16407,KEN3231,8.0,21/12/10
16407,KEN3300,8.0,08/02/11
16407,KEN3234,10.0,02/12/10
16407,KEN3236,10.0,13/01/11
20977,KEN3500,9.0,17/01/11
51996,KEN3120,6.0,04/11/10
51996,KEN3130,10.0,16/11/10
51996,KEN2430,6.0,07/04/11
51996,KEN3410,8.0,21/04/11
51996,KEN3430,8.0,03/05/11
51996,KEN2530,8.0,09/06/11
51996,KEN2600,6.0,12/07/11
51996,KEN3234,7.0,02/12/10
51996,KEN3231,7.0,21/12/10
51996,KEN3232,7.0,07/02/11
51996,KEN3236,8.0,13/01/11
31821,KEN3500,8.0,23/11/10
45938,KEN2120,2.0,29/11/10
45938,KEN3130,5.0,16/11/10
45938,KEN3231,2.0,21/12/10
45938,KEN3232,6.0,23/12/10
45938,KEN3233,6.0,18/11/10
45938,KEN3120,7.0,30/04/13
99227,KEN2110,8.0,24/02/11
99227,KEN2120,5.0,03/03/11
99227,KEN2130,7.0,08/02/11
