,KEN1110,KEN1120,KEN1130,KEN1210,KEN1220,KEN1410,KEN1420,KEN2110,KEN2120,KEN2130,KEN2220,KEN2230,KEN2240,KEN2410,KEN2420,KEN2430,KEN2510,KEN2520,KEN2530,KEN2600,
63045,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
63073,6.0,2.0,1.0,3.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
64920,-1.0,-1.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
65637,4.0,3.0,3.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
65919,7.0,6.0,6.0,0.0,6.0,0.0,4.0,4.0,5.0,7.0,6.0,5.0,4.0,9.0,6.0,9.0,7.0,6.0,6.0,6.5,
65931,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,
66404,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,7.0,7.0,6.0,9.0,7.0,7.0,8.0,8.0,10.0,6.0,6.0,9.0,
66405,8.0,6.0,5.0,7.0,7.0,-1.0,-1.0,9.0,2.0,4.0,4.0,5.0,7.0,9.0,6.0,6.0,8.0,7.0,3.0,8.0,
66719,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,7.0,7.0,8.0,7.0,6.0,7.0,6.0,5.0,8.0,9.0,7.0,7.0,
6720,8.0,9.0,6.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
67388,7.0,6.0,9.0,7.0,6.0,-1.0,4.0,7.0,-1.0,-1.0,-1.0,3.0,4.0,7.0,5.0,6.0,6.0,8.0,-1.0,-1.0,
67657,7.0,7.0,5.0,3.0,6.0,3.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
67986,9.0,7.0,7.0,5.0,7.0,9.0,8.0,9.0,4.0,7.0,7.0,6.0,6.0,6.0,7.0,8.0,8.0,9.0,6.0,6.5,
68316,-1.0,6.0,-1.0,5.0,6.0,3.0,6.0,5.0,8.0,7.0,7.0,2.0,6.0,6.0,2.0,4.0,8.0,7.0,4.0,6.0,
68487,2.0,3.0,3.0,-1.0,6.0,2.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
68953,7.0,6.0,6.0,6.0,6.0,8.0,4.0,6.0,6.0,5.0,6.0,7.0,7.0,8.0,4.0,6.0,6.0,6.0,6.0,6.0,
69171,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,7.0,-1.0,7.0,6.0,-1.0,-1.0,6.0,-1.0,-1.0,6.0,6.0,
69268,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
69382,3.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
70377,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,7.0,8.0,8.0,9.0,9.0,8.0,9.0,7.0,9.0,9.0,7.0,-1.0,
71554,6.0,8.0,7.0,4.0,9.0,5.0,2.0,9.0,6.0,6.0,7.0,4.0,5.0,8.0,-1.0,6.0,9.0,7.0,-1.0,6.0,
71623,3.0,7.0,4.0,-1.0,6.0,7.0,2.0,8.0,-1.0,2.0,6.0,1.0,3.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
71682,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,5.0,4.0,6.0,2.0,-1.0,7.0,5.0,-1.0,9.0,5.0,4.0,-1.0,
71865,7.0,7.0,9.0,6.0,6.0,4.0,7.0,7.0,8.0,2.0,5.0,6.0,5.0,9.0,8.0,8.0,8.0,9.0,3.0,8.0,
72204,8.0,9.0,9.0,4.0,7.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.5,
72521,5.0,3.0,5.0,2.0,3.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
72661,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,8.0,9.0,8.0,7.0,9.0,10.0,10.0,10.0,9.0,8.0,8.0,-1.0,
73344,4.0,8.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
73892,1.0,1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
74062,7.0,7.0,7.0,4.0,6.0,3.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
7478,5.0,2.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
75171,6.0,6.0,6.0,2.0,6.0,7.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
75173,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,7.0,9.0,7.0,8.0,8.0,7.0,9.0,9.0,10.0,9.0,8.0,9.0,
7540,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,5.0,10.0,8.0,9.0,8.0,7.0,9.0,10.0,8.0,9.0,9.0,-1.0,
76013,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
76266,8.0,8.0,6.0,9.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
76854,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,7.0,7.0,9.0,9.0,8.0,9.0,8.0,8.0,8.0,9.0,8.0,-1.0,
76959,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,7.0,9.0,7.0,9.0,9.0,7.0,8.0,9.0,9.0,9.0,8.0,9.0,
77422,8.0,6.0,8.0,8.0,7.0,8.0,6.0,7.0,7.0,6.0,8.0,6.0,6.0,7.0,6.0,8.0,9.0,9.0,7.0,7.0,
77536,8.0,6.0,8.0,6.0,6.0,7.0,7.0,9.0,6.0,10.0,9.0,8.0,6.0,9.0,10.0,8.0,9.0,10.0,7.0,8.0,
78005,9.0,7.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
78874,9.0,8.0,9.0,10.0,7.0,8.0,9.0,9.0,7.0,9.0,8.0,10.0,8.0,8.0,10.0,10.0,9.0,10.0,7.0,8.0,
79258,10.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,6.0,7.0,7.0,6.0,7.0,8.0,6.0,9.0,9.0,9.0,6.0,8.0,
79545,7.0,7.0,8.0,8.0,6.0,8.0,9.0,8.0,7.0,8.0,9.0,7.0,8.0,8.0,8.0,8.0,8.0,10.0,8.0,6.5,
79783,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,7.0,5.0,6.0,6.0,-1.0,7.0,8.0,7.0,9.0,6.0,7.0,8.0,
79879,5.0,4.0,6.0,0.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
80461,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,6.0,6.0,6.0,7.0,6.0,7.0,8.0,-1.0,7.0,7.0,-1.0,7.0,
80563,6.0,3.0,5.0,5.0,3.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
80811,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,6.0,6.0,7.0,6.0,-1.0,7.0,8.0,8.0,8.0,7.0,7.0,8.0,
81474,6.0,-1.0,3.0,5.0,-1.0,-1.0,-1.0,7.0,5.0,-1.0,3.0,4.0,-1.0,5.0,5.0,1.0,6.0,4.0,-1.0,6.0,
81583,6.0,6.0,6.0,-1.0,2.0,-1.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
81633,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
8208,8.0,4.0,7.0,6.0,-1.0,7.0,-1.0,7.0,5.0,8.0,6.0,5.0,4.0,7.0,5.0,7.0,6.0,6.0,5.0,8.5,
82214,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,6.0,-1.0,-1.0,3.0,-1.0,8.0,4.0,-1.0,8.0,4.0,-1.0,7.0,
83318,-1.0,7.0,9.0,-1.0,7.0,2.0,6.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,9.0,-1.0,-1.0,
84509,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,7.0,-1.0,-1.0,-1.0,-1.0,
84725,10.0,8.0,9.0,10.0,8.0,10.0,7.0,10.0,7.0,10.0,10.0,8.0,8.0,8.0,6.0,7.0,8.0,10.0,7.0,8.0,
85321,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,6.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,
85792,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,
86292,5.0,3.0,3.0,-1.0,3.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
8703,7.0,7.0,6.0,6.0,6.0,6.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
87048,3.0,2.0,3.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
87436,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,7.0,9.0,9.0,9.0,8.0,7.0,9.0,9.0,9.0,9.0,8.0,-1.0,
88184,8.0,7.0,8.0,6.0,6.0,4.0,4.0,-1.0,-1.0,1.0,5.0,3.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
89305,5.0,-1.0,1.0,2.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
89535,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,8.0,10.0,10.0,9.0,9.0,10.0,10.0,9.0,7.0,10.0,9.0,9.0,
89828,6.0,3.0,6.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
89999,9.0,7.0,7.0,7.0,7.0,9.0,3.0,7.0,5.0,7.0,6.0,6.0,7.0,7.0,7.0,7.0,8.0,0.0,7.0,8.5,
90387,3.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
90517,-1.0,-1.0,5.0,7.0,-1.0,4.0,6.0,7.0,1.0,-1.0,4.0,2.0,-1.0,6.0,7.0,7.0,8.0,4.0,6.0,6.0,
91468,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,4.0,6.0,-1.0,-1.0,5.0,4.0,-1.0,
91820,5.0,4.0,2.0,4.0,4.0,3.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
92260,-1.0,5.0,8.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
92703,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,7.0,3.0,6.0,7.0,6.0,-1.0,6.0,-1.0,8.0,8.0,-1.0,-1.0,
93310,9.0,6.0,10.0,6.0,6.0,9.0,7.0,6.0,6.0,5.0,7.0,6.0,5.0,8.0,6.0,4.0,7.0,5.0,-1.0,8.0,
93383,7.0,4.0,6.0,3.0,3.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
94201,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
94918,8.0,6.0,8.0,7.0,6.0,7.0,5.0,9.0,7.0,7.0,8.0,7.0,6.0,8.0,4.0,5.0,8.0,7.0,6.0,7.5,
96322,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,7.0,7.0,10.0,8.0,8.0,10.0,7.0,6.0,9.0,6.0,8.0,-1.0,
9635,7.0,-1.0,6.0,-1.0,-1.0,-1.0,5.0,7.0,4.0,4.0,6.0,4.0,-1.0,6.0,-1.0,-1.0,8.0,-1.0,-1.0,7.0,
96723,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,7.0,-1.0,-1.0,-1.0,-1.0,
9725,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,3.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,
97995,7.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,6.0,2.0,5.0,7.0,2.0,3.0,7.0,2.0,4.0,8.0,
99227,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,5.0,7.0,9.0,7.0,7.0,7.0,8.0,8.0,7.0,9.0,7.0,7.0,
99465,6.0,6.0,7.0,1.0,8.0,8.0,6.0,6.0,7.0,4.0,5.0,6.0,6.0,8.0,6.0,6.0,6.0,7.0,6.0,8.0,
99580,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,-1.0,7.0,-1.0,7.0,9.0,7.0,7.0,8.0,10.0,9.0,6.0,-1.0,
