,KEN1110,KEN1120,KEN1130,KEN1210,KEN1220,KEN1410,KEN1420,KEN2110,KEN2120,KEN2130,KEN2220,KEN2230,KEN2240,KEN2410,KEN2420,KEN2430,KEN2510,KEN2520,KEN2530,KEN2600,
22106,6.0,3.0,5.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
22638,5.0,6.0,6.0,1.0,4.0,2.0,1.0,6.0,-1.0,5.0,5.0,3.0,-1.0,7.0,-1.0,-1.0,8.0,3.0,-1.0,8.0,
22819,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,-1.0,6.0,6.0,6.0,5.0,8.0,8.0,5.0,8.0,7.0,7.0,-1.0,
22844,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,6.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,7.0,-1.0,
22880,9.0,9.0,10.0,9.0,9.0,10.0,7.0,9.0,8.0,7.0,10.0,7.0,10.0,8.0,9.0,9.0,9.0,9.0,8.0,7.5,
23216,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,6.0,8.0,8.0,10.0,-1.0,8.0,7.0,8.0,7.0,8.0,6.0,6.0,
23262,10.0,6.0,7.0,6.0,7.0,8.0,6.0,9.0,6.0,6.0,7.0,6.0,7.0,7.0,8.0,9.0,9.0,7.0,8.0,8.0,
2340,5.0,2.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
23731,4.0,6.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
23866,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
24583,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
25283,7.0,3.0,6.0,6.0,3.0,4.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
25545,10.0,9.0,10.0,9.0,10.0,10.0,10.0,10.0,9.0,10.0,10.0,9.0,10.0,8.0,9.0,8.0,10.0,10.0,9.0,6.0,
2563,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,6.0,8.0,9.0,6.0,9.0,8.0,9.0,6.0,8.0,8.0,7.0,-1.0,
25788,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,6.0,4.0,6.0,4.0,6.0,8.0,5.0,6.0,9.0,7.0,4.0,-1.0,
25892,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,
26705,5.0,7.0,-1.0,7.0,5.0,8.0,7.0,8.0,4.0,6.0,9.0,7.0,6.0,9.0,6.0,8.0,6.0,6.0,6.0,7.5,
26967,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,6.0,6.0,8.0,5.0,6.0,8.0,7.0,9.0,8.0,7.0,7.0,-1.0,
27313,8.0,9.0,4.0,2.0,6.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
27540,10.0,9.0,10.0,9.0,9.0,9.0,8.0,9.0,6.0,8.0,10.0,8.0,10.0,8.0,7.0,7.0,8.0,10.0,8.0,6.0,
27729,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
2775,4.0,3.0,2.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
28617,-1.0,5.0,6.0,-1.0,3.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
28650,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,
29214,-1.0,-1.0,-1.0,6.0,-1.0,-1.0,-1.0,7.0,6.0,4.0,-1.0,-1.0,-1.0,-1.0,4.0,-1.0,-1.0,-1.0,-1.0,-1.0,
