,KEN1110,KEN1120,KEN1130,KEN1210,KEN1220,KEN1410,KEN1420,KEN2110,KEN2120,KEN2130,KEN2220,KEN2230,KEN2240,KEN2410,KEN2420,KEN2430,KEN2510,KEN2520,KEN2530,KEN2600,
10060,-1.0,-1.0,-1.0,-0.26690358778852674,-0.9748536973566719,-0.05782862375322406,0.231089431212407,7.579689788129745,6.261481394801513,7.1248214729849515,7.564494354953805,7.098209567853045,5.8316744653154435,7.810894007364185,7.62986440155629,7.021611283812108,8.613143891977137,7.980246330769916,6.245326270576718,4.724427664517036,
10173,0.2942006313718899,0.1955969311364223,0.2863073318093481,-0.0785780352240446,0.05478091200937474,-0.06996321591570487,-0.2734261570369194,-0.8321549559630521,-0.9207435011923887,-0.9992296336637055,-0.8987227258946262,-1.0,-0.9220148251171548,-0.8209075218705177,-1.0,-1.0,-0.96148028104599,-1.0,-1.0,-0.6459101865684378,
10546,4.386059965431011,3.9757020739202904,4.353210510919546,2.8346712522368422,3.3896696576730605,2.8705234472221632,2.0237740522228935,-0.30148119992406497,-0.6701591353920135,-0.9967939752291475,-0.5785155266933332,-1.0,-0.675449989629211,-0.2546728821013424,-1.0,-1.0,-0.8396929261903359,-1.0,-1.0,0.47361152672985507,
11320,8.096590124238606,7.403531085297683,8.041110232552754,5.998073436997646,6.431666144473799,6.207394873229947,4.9828919012018655,6.284734567508259,4.724080005457122,4.786743514112832,5.806034995042164,4.7623927469032585,4.409309158975034,6.528306325855646,5.1406990789286775,4.707888181087268,6.111109969422416,5.390018174789251,4.155511869716601,5.562098085970777,
11707,-1.0,-1.0,-1.0,-0.4400116123448232,-0.9807915613305931,-0.28030608104095456,-0.05961102228788795,5.553744597580187,4.546808292235868,5.206285559245839,5.5421373028476335,5.185957594739377,4.218492827261942,5.730353943624593,5.592071344793688,5.127446669214804,6.3431664085304575,5.859716648106465,4.534467920879088,3.372703187063033,
11867,-1.0,-1.0,-1.0,-0.28083252552202487,-0.9753314807394743,-0.07573001600589813,0.20769855417892513,7.41667444275234,6.123512199322803,6.970448691304565,7.401767725001841,6.944342416214461,5.701871663585924,7.643485748422076,7.465895731275667,6.869199510635521,8.430492769336146,7.80962035321884,6.107664024792013,4.6156627119531,
11895,10.891248765241695,9.98526780660906,10.818724315475926,8.253275930021346,8.718436338309496,8.556922221981239,6.997707029193193,9.754545678354889,7.525170071279268,7.731035381855216,9.126598182898737,7.6953828723215345,7.051987522203715,10.10614180367701,8.266242677348261,7.6131361236398565,9.675953720299598,8.64246226027304,6.779606767358149,8.399968663956184,
12940,-1.0,-1.0,-1.0,-0.948215025487204,-0.9982236979750759,-0.9334462426866293,-0.913037448067722,-0.39394190231307635,-0.48705842411561984,-0.42607320689195705,-0.39501528789595364,-0.4279530371653525,-0.5174194250946271,-0.37760993778444263,-0.3903976330543508,-0.43336384005663653,-0.3209400521656449,-0.36564711051484367,-0.48819960102263593,-0.5956338951201332,
12988,3.8987704210256675,3.5255385755079,3.86889293411679,2.7851325154231796,3.002726918545469,2.9025558885409453,2.2496184246725357,3.115819064160501,2.2457426634508524,2.2988878161080697,2.8576844005350317,2.28517627658066,2.0665720031368897,3.2521844421342383,2.500851091164939,2.2541028814740445,3.0455388344235166,2.642989472735661,1.9391896789966094,2.6625017411414946,
13148,7.434637124902512,6.79201154545335,7.383194469170212,5.678442346825653,5.897372640424398,5.926608498742774,4.8659400067647685,7.973752031264233,6.185712824420508,6.467117866343057,7.5259568438577364,6.437655962498142,5.78267878161498,8.259399827540062,6.925944850400094,6.367305636387079,8.080063217551704,7.247746876283973,5.654340528617109,6.565192405383109,
13985,-0.22570549928587358,-0.2846981322607589,-0.2304279034445601,-0.4487315622718031,-0.36894555617597524,-0.44357748719766066,-0.5653053187180961,-0.8995816479921153,-0.9525824128925532,-0.9995391051408344,-0.9394078209466006,-1.0,-0.9533430207146413,-0.8928525318459097,-1.0,-1.0,-0.9769544181696715,-1.0,-1.0,-0.788155106207666,
14020,8.141071370007015,7.444623354645026,8.085320188237342,6.10667725898056,6.470557594543041,6.338236170669721,5.137060770784053,7.19089950128474,5.488860706717716,5.639429959016124,6.708317330863826,5.612259926293638,5.128940046453446,7.459121573446222,6.046360812676142,5.5497167481080165,7.1212859492093585,6.332450765032232,4.915873150780671,6.175018503849813,
14336,-1.0,-1.0,-1.0,-0.7934681149264543,-0.9929156476541884,-0.7345663855977904,-0.6531708289835791,1.4171165971789401,1.0457438011062266,1.2889686359801042,1.4128356575834662,1.2814713861767513,0.9246562689811562,1.4822526999343735,1.4312520605657553,1.2598917034326353,1.7082668751631451,1.5299635521660186,1.0411924921594546,0.6127167134175138,
14576,-1.0,-1.0,-1.0,-0.2011078813735,-0.9725968062867065,0.026731647217372867,0.3415802171955855,8.349720497636131,6.9132023554174244,7.854027562943029,8.33316126804346,7.825027228311212,6.4448200761184955,8.601675391239274,8.404398303384328,7.7415542165745705,9.475927535037007,8.78622715576339,6.895597302107059,5.238197416673416,
14959,10.091522692637325,9.246471970029981,10.023875753595956,7.677313427807565,8.066429048501414,7.97375757197471,6.537672067315172,9.573730353573165,7.410941987695249,7.657548134497855,8.987053664081314,7.622610797554723,6.942407356531867,9.916298700313005,8.188693049594677,7.541052375842916,9.565765643127996,8.56176403285233,6.714498866574082,8.129724948207372,
15153,-0.19504103724604782,-0.25636996132569934,-0.19995046324581323,-0.4268996235625916,-0.34395384434041665,-0.4215414311412179,-0.5480900620673137,-0.8956047700207392,-0.9507045294792843,-0.9995208522759359,-0.9370081828595682,-1.0,-0.9514952597285187,-0.8886091600192414,-1.0,-1.0,-0.9760417417028103,-1.0,-1.0,-0.7797653918315022,
15164,8.707225160188386,7.967642520054161,8.648021019614612,6.429647714994875,6.929228288589859,6.6421283947115,5.320375495207795,6.326772051349391,4.730028012156399,4.7519210271040135,5.816730007860624,4.727322030021036,4.416518678711824,6.574649349636653,5.103325937541923,4.673149186508693,6.087653095110167,5.351127643004392,4.124134713540821,5.7043755521723725,
15566,1.1639583850138058,0.9990888132135316,1.1507604531323459,0.5406566327349207,0.7636384526220465,0.5550609762545955,0.21486230318478894,-0.7193559625745569,-0.867479770134431,-0.9987119147892938,-0.8306600992155679,-1.0,-0.869605477695051,-0.7005497754004477,-1.0,-1.0,-0.9355933950282914,-1.0,-1.0,-0.4079468034172018,
15831,7.124343997652678,6.505359304912122,7.074793812489631,5.2783366441763775,5.6383355273348705,5.473333724619868,4.390827376763028,5.836400370858722,4.391806861529865,4.4810056573461905,5.40827942228158,4.458233127839854,4.0941341390197845,6.062838916640812,4.816571103855531,4.406605507192991,5.721113844365656,5.052730249578562,3.883385585507222,5.081091111835901,
16395,-0.8532011627809085,-0.8643856021863527,-0.8540964854762582,-0.4700618520391342,-0.8657654665577337,-0.34775646992152465,-0.20317296867703638,3.9979151189664845,3.222897632028322,3.7149996686530304,3.9815464007280648,3.699469142098339,2.973332320184256,4.1333609341089135,4.007993571393667,3.6550184188647723,4.582969368227675,4.211323585329682,3.204532736244893,2.3621043690401944,
16407,-1.0,-1.0,-1.0,-0.9514330181196792,-0.9983340799320631,-0.9375819886769077,-0.9184414258441358,-0.4316032222530236,-0.5189333497598965,-0.461737841453965,-0.43260990611537287,-0.4635008563764407,-0.5474076745672107,-0.41628614943808573,-0.428279198972391,-0.46857542421105536,-0.3631378118381914,-0.40506670942278833,-0.5200036122962156,-0.6207617851803001,
16454,7.960257619816989,7.277585602078558,7.905609216906081,6.088499424766056,6.32698554698239,6.350384338200266,5.221205235144397,8.461311286474638,6.572856628962025,6.864587382129644,7.985737799772908,6.833511765098293,6.148296480943844,8.762828761781691,7.347788946972939,6.759417169966682,8.565616091256398,7.686718304354391,6.008505782295457,6.988821612537117,
1716,7.522698301385235,6.87336343928097,7.470718562584853,5.77278439544809,5.9702285014308085,6.030561933410715,4.968521052935118,8.355535025822062,6.504564455425734,6.817897161514838,7.902554427338243,6.787234074722197,6.082890289025784,8.651928599849708,7.298473084075507,6.7135772049473434,8.497657998551325,7.635400163509265,5.967101943210514,6.836393983949581,
17251,-0.7736240120926352,-0.7908713457061756,-0.775004673979985,-0.5705409470782628,-0.8062995999587694,-0.4925198833572848,-0.42237473966913863,2.169228084262742,1.6713139350267139,1.9735380512670933,2.1520233349570583,1.9636642663866626,1.513797108261092,2.2558081746797978,2.158231524679508,1.9356319469737628,2.5248154708442763,2.2864591772856064,1.6515385143476227,1.1568781539114763,
1812,3.090464663144817,2.7788167302884115,3.065517014261376,2.105919229901032,2.340395007664269,2.188378888015913,1.6216354964057773,1.7969990850409667,1.1687725816051802,1.1487779630464434,1.5825900692048678,1.1393130381739662,1.0512118461969866,1.893625324206266,1.2797608875436022,1.1190779841935137,1.661260770128742,1.3723216719029998,0.9140059079229803,1.6313685648607708,
18395,-0.6939623506972334,-0.7172790172952317,-0.6958288672054214,-0.6658481855489079,-0.7465895181072828,-0.6306530530405168,-0.6329450034678666,0.40037592620863927,0.17036781005840473,0.2887287237113778,0.3822248452387993,0.284326072397459,0.10190245487410121,0.4397031524591244,0.36864324877083354,0.2721780571515704,0.5336940084133763,0.4242116609260753,0.14906404364575065,-0.008410013396190186,
18884,7.559701238319153,6.907547163789226,7.507495819466673,5.574931253072271,5.992695785675327,5.769015141422891,4.612799159303007,5.736466397899787,4.286101572229154,4.333160893470518,5.2862296521918655,4.310614316860724,3.995835955338773,5.962473954331919,4.65926098348943,4.260382973689568,5.558837621924517,4.889033166347928,3.751313620678835,5.09585553017012,
